question_id,question_text,difficulty,expected_keywords,ideal_answer_summary
1,What is data analysis?,Easy,inspection;cleaning;transformation;insights,Data analysis is the process of inspecting cleaning and transforming data to extract useful insights for decision making.
2,Who is a data analyst?,Easy,data interpretation;reporting;visualization;business support,A data analyst collects and interprets data to help businesses make informed decisions.
3,What are common tools used by data analysts?,Easy,Excel;SQL;Python;Tableau;Power BI,Common tools include Excel for analysis SQL for querying databases Python for advanced analysis and Tableau or Power BI for visualization.
4,What is SQL?,Easy,structured query language;database;queries,SQL is a language used to store retrieve and manage data in relational databases.
5,What is a database?,Easy,data storage;tables;rows;columns,A database is an organized collection of data stored in tables with rows and columns.
6,What is a spreadsheet?,Easy,Excel;rows;columns;calculation,A spreadsheet is a tool like Excel used to organize calculate and analyze data in tabular format.
7,What is data visualization?,Easy,charts;graphs;dashboards;communication,Data visualization is representing data using charts and graphs to communicate insights clearly.
8,What is a bar chart?,Easy,comparison;categories;visualization,A bar chart is used to compare values across different categories using rectangular bars.
9,What is a pie chart?,Easy,percentage;proportion;distribution,A pie chart shows proportions of a whole as percentage slices.
10,What is mean?,Easy,average;central tendency,Mean is the average value calculated by dividing total sum by number of observations.
11,What is median?,Easy,middle value;ordered data,Median is the middle value when data is arranged in order.
12,What is mode?,Easy,most frequent;occurrence,Mode is the value that appears most frequently in a dataset.
13,What is variance?,Easy,spread;deviation;dispersion,Variance measures how far data points are spread from the mean.
14,What is standard deviation?,Easy,dispersion;spread;mean,Standard deviation measures the average distance of data points from the mean.
15,What is a KPI?,Easy,key performance indicator;metrics;business goals,KPI is a measurable metric used to evaluate success in achieving business objectives.
16,What is data cleaning?,Easy,missing values;duplicates;errors;quality,Data cleaning is the process of correcting errors handling missing values and removing duplicates.
17,What is structured data?,Easy,tabular;rows;columns;database,Structured data is organized in tables with predefined schema like rows and columns.
18,What is unstructured data?,Easy,text;images;videos;no fixed format,Unstructured data includes data like text images and videos without a fixed schema.
19,What is a dashboard?,Easy,visual interface;KPIs;interactive,A dashboard is a visual interface displaying important metrics and insights.
20,What is filtering in data analysis?,Easy,select;criteria;subset,Filtering is selecting specific data based on given conditions or criteria.
