question_id,question_text,difficulty,expected_keywords,ideal_answer_summary
1,What is full stack development?,Easy,frontend;backend;database;api,Full stack development involves working on both frontend and backend including databases and APIs.
2,What is HTML?,Easy,markup;structure;web pages,HTML is a markup language used to structure content on web pages.
3,What is CSS?,Easy,styling;layout;design,CSS is used to style and design web pages including layout colors and fonts.
4,What is JavaScript?,Easy,scripting;dynamic;browser,JavaScript is a scripting language used to create dynamic and interactive web applications.
5,What is the difference between frontend and backend?,Easy,client side;server side;ui;logic,Frontend handles user interface while backend manages server logic and database operations.
6,What is a REST API?,Easy,http;endpoints;json;stateless,A REST API allows communication between client and server using HTTP methods and JSON data.
7,What is Node.js?,Easy,server side;javascript runtime;backend,Node.js is a JavaScript runtime used to build server side applications.
8,What is Express.js?,Easy,framework;node;middleware,Express.js is a lightweight framework for building web applications using Node.js.
9,What is a database?,Easy,data storage;tables;records,A database is a system used to store manage and retrieve structured data.
10,What is SQL?,Easy,structured query language;database;queries,SQL is a language used to interact with relational databases.
11,What is NoSQL?,Easy,non relational;document;flexible schema,NoSQL databases store unstructured or semi structured data with flexible schemas.
12,What is Git?,Easy,version control;repository;commit,Git is a version control system used to track code changes.
13,What is GitHub?,Easy,repository hosting;collaboration;git,GitHub is a platform for hosting and collaborating on Git repositories.
14,What is responsive design?,Easy,media queries;mobile friendly;layout,Responsive design ensures websites work properly on different screen sizes.
15,What is JSON?,Easy,data format;key value;api,JSON is a lightweight data format used for data exchange between client and server.
16,What is HTTP?,Easy,protocol;client server;request response,HTTP is a protocol used for communication between client and server.
17,What are HTTP methods?,Easy,GET;POST;PUT;DELETE,HTTP methods define actions like retrieving creating updating and deleting resources.
18,What is DOM?,Easy,document object model;html;tree structure,DOM represents the structure of HTML documents as a tree.
19,What is an event listener in JavaScript?,Easy,user interaction;click;handler,An event listener waits for user actions and triggers a function.
20,What is a function?,Easy,reusable code;parameters;return,A function is a reusable block of code that performs a specific task.
21,What is middleware?,Easy,request processing;express;next,Middleware is a function that processes requests before reaching the final handler.
22,What is authentication?,Easy,login;identity;security,Authentication verifies the identity of a user.
